"Pass TDs Leaders","Daniel Jones ","IND","24"
"Pass TDs Leaders","Kyler Murray ","MIN","24"
"Pass TDs Leaders","Jalen Hurts ","PHI","24"
"Pass TDs Leaders","Jayden Daniels ","WAS","24"
"Pass TDs Leaders","Bryce Young ","CAR","23"
"Pass TDs Leaders","C.J. Stroud ","HOU","23"
"Pass TDs Leaders","Aaron Rodgers ","PIT","22"
"Pass TDs Leaders","Geno Smith ","NYJ","22"
"Pass TDs Leaders","Tyler Shough ","NO","22"
"Pass TDs Leaders","Jaxson Dart ","NYG","22"
"Pass TDs Leaders","Cam Ward ","TEN","20"
"Pass TDs Leaders","Jacoby Brissett ","ARI","19"
"Pass TDs Leaders","Malik Willis ","MIA","18"
"Pass TDs Leaders","Fernando Mendoza ","LV","16"
"Pass TDs Leaders","Tua Tagovailoa ","ATL","13"
"Pass TDs Leaders","Deshaun Watson ","CLE","11"
"Pass TDs Leaders","Michael Penix Jr. ","ATL","8"
"Pass TDs Leaders","Shedeur Sanders ","CLE","8"
"Pass TDs Leaders","Kirk Cousins ","LV","5"
"Pass TDs Leaders","Carson Beck ","ARI","3"
"Pass TDs Leaders","Marcus Mariota ","WAS","2"
"Pass TDs Leaders","Ty Simpson ","LAR","2"
"Pass TDs Leaders","Brady Cook ","FA","1"
"Pass TDs Leaders","Stetson Bennett IV ","LAR","1"
"Pass TDs Leaders","Mason Rudolph ","PIT","1"
"Pass TDs Leaders","Will Howard ","PIT","1"
"Pass TDs Leaders","Joe Milton III ","DAL","1"
"Pass TDs Leaders","Kyle McCord ","MIA","1"
"Pass TDs Leaders","Jalen Milroe ","SEA","1"
"Pass TDs Leaders","Mitchell Trubisky ","TEN","1"
"Pass TDs Leaders","Kyle Allen ","BUF","1"
"Pass TDs Leaders","Cole Payton ","PHI","1"
"Pass TDs Leaders","Cade Klubnik ","NYJ","1"
"Pass TDs Leaders","Gardner Minshew II ","ARI","1"
"Pass TDs Leaders","Drew Allar ","PIT","1"
"Pass TDs Leaders","Andy Dalton ","PHI","1"
"Pass TDs Leaders","Drew Lock ","SEA","1"
"Pass TDs Leaders","Sam Howell ","DAL","1"
"Pass TDs Leaders","Spencer Rattler ","NO","1"
"Pass TDs Leaders","Jalon Daniels ","TB","1"
"Pass TDs Leaders","Kenny Pickett ","CAR","1"
"Pass TDs Leaders","Joe Flacco ","CIN","1"
"Pass TDs Leaders","Tanner McKee ","PHI","1"
"Pass TDs Leaders","A. Richardson Sr. ","IND","1"
""
"","Player","Team","INTs"
"INTs Leaders","Geno Smith ","NYJ","15"
"INTs Leaders","Kyler Murray ","MIN","14"
"INTs Leaders","Brock Purdy ","SF","14"
"INTs Leaders","Sam Darnold ","SEA","13"
"INTs Leaders","Baker Mayfield ","TB","13"
"INTs Leaders","Trevor Lawrence ","JAC","13"
"INTs Leaders","Fernando Mendoza ","LV","12"
"INTs Leaders","Bryce Young ","CAR","12"
"INTs Leaders","Malik Willis ","MIA","12"
"INTs Leaders","Daniel Jones ","IND","12"
"INTs Leaders","Tyler Shough ","NO","12"
"INTs Leaders","Justin Herbert ","LAC","12"
"INTs Leaders","Patrick Mahomes II ","KC","12"
"INTs Leaders","Joe Burrow ","CIN","12"
"INTs Leaders","C.J. Stroud ","HOU","11"
"INTs Leaders","Bo Nix ","DEN","11"
"INTs Leaders","Dak Prescott ","DAL","11"
"INTs Leaders","Jaxson Dart ","NYG","11"
"INTs Leaders","Jayden Daniels ","WAS","11"
"INTs Leaders","Josh Allen ","BUF","11"
"INTs Leaders","Jacoby Brissett ","ARI","10"
"INTs Leaders","Cam Ward ","TEN","10"
"INTs Leaders","Jordan Love ","GB","10"
"INTs Leaders","Jared Goff ","DET","10"
"INTs Leaders","Drake Maye ","NE","10"
"INTs Leaders","Lamar Jackson ","BAL","10"
"INTs Leaders","Aaron Rodgers ","PIT","9"
"INTs Leaders","Matthew Stafford ","LAR","9"
"INTs Leaders","Caleb Williams ","CHI","9"
"INTs Leaders","Deshaun Watson ","CLE","7"
"INTs Leaders","Tua Tagovailoa ","ATL","7"
"INTs Leaders","Jalen Hurts ","PHI","7"
"INTs Leaders","Shedeur Sanders ","CLE","6"
"INTs Leaders","Kirk Cousins ","LV","4"
"INTs Leaders","Michael Penix Jr. ","ATL","4"
"INTs Leaders","Carson Beck ","ARI","2"
"INTs Leaders","Brady Cook ","FA","1"
"INTs Leaders","Will Howard ","PIT","1"
"INTs Leaders","Joe Milton III ","DAL","1"
"INTs Leaders","Kyle McCord ","MIA","1"
"INTs Leaders","Mitchell Trubisky ","TEN","1"
"INTs Leaders","Kyle Allen ","BUF","1"
"INTs Leaders","Cade Klubnik ","NYJ","1"
"INTs Leaders","Drew Allar ","PIT","1"
"INTs Leaders","Drew Lock ","SEA","1"
"INTs Leaders","Sam Howell ","DAL","1"
"INTs Leaders","Spencer Rattler ","NO","1"
"INTs Leaders","Kenny Pickett ","CAR","1"
"INTs Leaders","Joe Flacco ","CIN","1"
"INTs Leaders","Trey Lance ","LAC","1"
"INTs Leaders","Mac Jones ","SF","1"
"INTs Leaders","Quinn Ewers ","JAC","1"
"INTs Leaders","Davis Mills ","HOU","1"
"INTs Leaders","Jameis Winston ","NYG","1"
"INTs Leaders","Justin Fields ","KC","1"
"INTs Leaders","J.J. McCarthy ","MIN","1"
"INTs Leaders","Riley Leonard ","IND","1"
"INTs Leaders","Marcus Mariota ","WAS","1"
"INTs Leaders","Ty Simpson ","LAR","1"
""
"","Player","Team","Rushing Attempts"
"Rushing Attempts Leaders","Jonathan Taylor ","IND","327"
"Rushing Attempts Leaders","Derrick Henry ","BAL","316"
"Rushing Attempts Leaders","Saquon Barkley ","PHI","296"
"Rushing Attempts Leaders","Quinshon Judkins ","CLE","290"
"Rushing Attempts Leaders","James Cook III ","BUF","288"
"Rushing Attempts Leaders","Bijan Robinson ","ATL","286"
"Rushing Attempts Leaders","Jahmyr Gibbs ","DET","281"
"Rushing Attempts Leaders","C. McCaffrey ","SF","270"
"Rushing Attempts Leaders","Kenneth Walker III ","KC","267"
"Rushing Attempts Leaders","Javonte Williams ","DAL","264"
"Rushing Attempts Leaders","Ashton Jeanty ","LV","258"
"Rushing Attempts Leaders","Bucky Irving ","TB","253"
"Rushing Attempts Leaders","Travis Etienne Jr. ","NO","253"
"Rushing Attempts Leaders","Breece Hall ","NYJ","249"
"Rushing Attempts Leaders","Omarion Hampton ","LAC","244"
"Rushing Attempts Leaders","Bhayshul Tuten ","JAC","239"
"Rushing Attempts Leaders","Chase Brown ","CIN","239"
"Rushing Attempts Leaders","De'Von Achane ","MIA","238"
"Rushing Attempts Leaders","Cam Skattebo ","NYG","237"
"Rushing Attempts Leaders","Jeremiyah Love ","ARI","237"
"Rushing Attempts Leaders","Tony Pollard ","TEN","236"
"Rushing Attempts Leaders","David Montgomery ","HOU","236"
"Rushing Attempts Leaders","Kyren Williams ","LAR","235"
"Rushing Attempts Leaders","D'Andre Swift ","CHI","232"
"Rushing Attempts Leaders","J.K. Dobbins ","DEN","220"
"Rushing Attempts Leaders","Jadarian Price ","SEA","216"
"Rushing Attempts Leaders","Rico Dowdle ","PIT","201"
"Rushing Attempts Leaders","Jordan Mason ","MIN","193"
"Rushing Attempts Leaders","MarShawn Lloyd ","GB","193"
"Rushing Attempts Leaders","Kyle Monangai ","CHI","190"
"Rushing Attempts Leaders","Jonathon Brooks ","CAR","189"
"Rushing Attempts Leaders","Jaylen Warren ","PIT","189"
"Rushing Attempts Leaders","TreVeyon Henderson ","NE","186"
"Rushing Attempts Leaders","J. Croskey-Merritt ","WAS","185"
"Rushing Attempts Leaders","Chuba Hubbard ","CAR","183"
"Rushing Attempts Leaders","Blake Corum ","LAR","172"
"Rushing Attempts Leaders","R. Stevenson ","NE","169"
"Rushing Attempts Leaders","Josh Jacobs ","GB","152"
"Rushing Attempts Leaders","Aaron Jones Sr. ","MIN","150"
"Rushing Attempts Leaders","Woody Marks ","HOU","145"
"Rushing Attempts Leaders","Rachaad White ","WAS","137"
"Rushing Attempts Leaders","C. Rodriguez Jr. ","JAC","136"
"Rushing Attempts Leaders","Jayden Daniels ","WAS","130"
"Rushing Attempts Leaders","M. Washington Jr. ","LV","127"
"Rushing Attempts Leaders","Zach Charbonnet ","SEA","126"
"Rushing Attempts Leaders","Malik Willis ","MIA","125"
"Rushing Attempts Leaders","Brian Robinson Jr. ","ATL","121"
"Rushing Attempts Leaders","AJ Dillon ","CAR","121"
"Rushing Attempts Leaders","Lamar Jackson ","BAL","119"
"Rushing Attempts Leaders","Josh Allen ","BUF","118"
"Rushing Attempts Leaders","Kenny Gainwell ","TB","117"
"Rushing Attempts Leaders","Kaelon Black ","SF","114"
"Rushing Attempts Leaders","Braelon Allen ","NYJ","112"
"Rushing Attempts Leaders","Jalen Hurts ","PHI","112"
"Rushing Attempts Leaders","Tyler Allgeier ","ARI","108"
"Rushing Attempts Leaders","RJ Harvey ","DEN","108"
"Rushing Attempts Leaders","Tank Bigsby ","PHI","105"
"Rushing Attempts Leaders","Alvin Kamara ","NO","105"
