Salary Cap Values
Overall,Bye Week,VALUES,Tags,Expert Notes,,QB,Bye Week,VALUES,Tags,Expert Notes,,RB,Bye Week,VALUES,Tags,Expert Notes,,WR,Bye Week,VALUES,Tags,Expert Notes,,TE,Bye Week,VALUES,Tags,Expert Notes,,K,Bye Week,VALUES,Tags,Expert Notes,,DST,Bye Week,VALUES,Tags,Expert Notes,,DB,Bye Week,VALUES,Tags,Expert Notes,,
Rachaad White (RB - WAS),7,$11,,,,,,,,,,LeQuint Allen Jr. - JAC,7,$0,,,,Jordyn Tyson - NO,8,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Pitts Sr. (TE - ATL),11,$11,,,,,,,,,,Adam Randall - BAL,13,$0,,,,Chris Bell - MIA,6,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George Kittle (TE - SF),8,$11,,,,,,,,,,Emmett Johnson - KC,5,$0,,,,Dontayvion Wicks - PHI,10,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jayden Daniels (QB - WAS),7,$10,,,,,,,,,,Jacob Saylors - DET,6,$0,,,,Antonio Williams - WAS,7,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Monangai (RB - CHI),10,$10,,,,,,,,,,Ray Davis - BUF,7,$0,,,,Caleb Douglas - MIA,6,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Courtland Sutton (WR - DEN),10,$10,,,,,,,,,,Roschon Johnson - CHI,10,$0,,,,Omar Cooper Jr. - NYJ,13,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Watson (WR - GB),11,$10,,,,,,,,,,Seth McGowan - IND,13,$0,,,,Travis Hunter - JAC,7,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marvin Harrison Jr. (WR - ARI),14,$10,,,,,,,,,,George Holani - SEA,11,$0,,,,Xavier Hutchinson - HOU,8,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sam LaPorta (TE - DET),6,$10,,,,,,,,,,Sean Tucker - TB,10,$0,,,,Troy Franklin - DEN,10,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Travis Kelce (TE - KC),5,$10,,,,,,,,,,Will Shipley - PHI,10,$0,,,,Darius Slayton - NYG,8,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dak Prescott (QB - DAL),14,$9,,,,,,,,,,Emari Demercado - DAL,14,$0,,,,Tory Horton - SEA,11,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matthew Stafford (QB - LAR),11,$9,,,,,,,,,,Hunter Luepke - DAL,14,$0,,,,Xavier Legette - CAR,5,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacory Croskey-Merritt (RB - WAS),7,$9,,,,,,,,,,,,,,,,Bryce Lance - NO,8,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Mason (RB - MIN),6,$9,,,,,,,,,,,,,,,,Jahan Dotson - ATL,11,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Evans (WR - SF),8,$9,,,,,,,,,,,,,,,,Tyquan Thornton - KC,5,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DK Metcalf (WR - PIT),9,$9,,,,,,,,,,,,,,,,Tre' Harris - LAC,7,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alec Pierce (WR - IND),13,$9,,,,,,,,,,,,,,,,Jalen Tolbert - MIA,6,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dallas Goedert (TE - PHI),10,$9,,,,,,,,,,,,,,,,Ryan Flournoy - DAL,14,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blake Corum (RB - LAR),11,$8,,,,,,,,,,,,,,,,Malik Benson - LV,13,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Pittman Jr. (WR - PIT),9,$8,,,,,,,,,,,,,,,,Malachi Fields - NYG,8,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tucker Kraft (TE - GB),11,$8,,,,,,,,,,,,,,,,Isaac TeSlaa - DET,6,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brock Purdy (QB - SF),8,$7,,,,,,,,,,,,,,,,Andrei Iosivas - CIN,6,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trevor Lawrence (QB - JAC),7,$7,,,,,,,,,,,,,,,,Ted Hurst III - TB,10,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caleb Williams (QB - CHI),10,$7,,,,,,,,,,,,,,,,DeMario Douglas - NE,11,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyjae Spears (RB - TEN),9,$7,,,,,,,,,,,,,,,,Hollywood Brown - PHI,10,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Jacobs (RB - GB),11,$7,,,,,,,,,,,,,,,,Zachariah Branch - ATL,11,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parker Washington (WR - JAC),7,$7,,,,,,,,,,,,,,,,Chimere Dike - TEN,9,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jared Goff (QB - DET),6,$6,,,,,,,,,,,,,,,,Elic Ayomanor - TEN,9,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patrick Mahomes II (QB - KC),5,$6,,,,,,,,,,,,,,,,Keon Coleman - BUF,7,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaxson Dart (QB - NYG),8,$6,,,,,,,,,,,,,,,,Pat Bryant - DEN,10,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Thomas Jr. (WR - JAC),7,$6,,,,,,,,,,,,,,,,Joshua Palmer - BUF,7,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carnell Tate (WR - TEN),9,$6,,,,,,,,,,,,,,,,Marvin Mims Jr. - DEN,10,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
